Song Name,End Time,Artist Name
Ambarsariya,26/12/23 19:08,Sona Mohapatra
"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",26/12/23 19:13,Jasmine Sandlas
Heer Ranjha,26/12/23 19:13,Rito Riba
Maiyya Mainu,26/12/23 19:13,Sachet Tandon
"Nai Lagda (From ""Notebook"")",26/12/23 19:13,Vishal Mishra
Humnava Mere,26/12/23 19:13,Jubin Nautiyal
Hey Shona,26/12/23 19:13,Vishal-Shekhar
"Kaun Nachdi (From ""Sonu Ke Titu Ki Sweety"")",26/12/23 19:13,Guru Randhawa
Taaron Ke Shehar,26/12/23 19:13,Neha Kakkar
Hum Dum,26/12/23 19:13,Ankit Tiwari
"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")",26/12/23 19:13,KK
Players,26/12/23 19:13,Badshah
Players,26/12/23 19:15,Badshah
Sooraj Ki Baahon Mein,26/12/23 19:20,Dominique Cerejo
Piya O Re Piya,26/12/23 19:20,Atif Aslam
O'Meri Laila,26/12/23 19:20,Atif Aslam
Gale Lag Ja - Version 1,26/12/23 19:20,Javed Ali
Taaron Ke Shehar,26/12/23 19:20,Neha Kakkar
Hum Dum,26/12/23 19:20,Ankit Tiwari
"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")",26/12/23 19:20,KK
Players,26/12/23 19:20,Badshah
Chori Kiya Re Jiya,25/12/23 19:47,Sonu Nigam
Pee Loon,25/12/23 19:52,Pritam
Pehla Nasha,25/12/23 19:53,Udit Narayan
Lag Ja Gale Se Phir,25/12/23 19:57,Lata Mangeshkar
Banjaara,25/12/23 19:57,Mohammed Irfan
Pyaar Manga Hai,25/12/23 19:57,Armaan Malik
"Mast Magan (From ""2 States"")",25/12/23 20:02,Arijit Singh
"Tere Naal Nachna (From ""Nawabzaade"")",25/12/23 20:07,Badshah
Be Intehaan,25/12/23 20:07,Atif Aslam
Dil Tu Hi Bataa,26/12/23 13:41,KK
Ishqe Di Lat,26/12/23,Kailash Kher
Uff Teri Adaa,29/12/23 11:59,Shankar Mahadevan
"Chaleya (From ""Jawan"")",31/12/23 16:41,Anirudh Ravichander
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",31/12/23 16:44,Pritam
Pehle Bhi Main,31/12/23 16:48,Vishal Mishra
Dil Haareya,31/12/23 16:49,Arijit Singh
"Satranga (From ""ANIMAL"")",31/12/23 16:51,Arijit Singh
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",31/12/23 16:55,Vishal Mishra
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",31/12/23 17:00,Pritam
Tere Pyaar Mein,31/12/23 17:04,Pritam
Jhoome Jo Pathaan,31/12/23 17:08,Vishal-Shekhar
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",31/12/23 17:12,Sachin-Jigar
Chale Jaana Phir (Humko Tere Bina),31/12/23 17:14,Denny
Hum Toh Deewane,31/12/23 17:17,Rajat Nagpal
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",31/12/23 17:21,Pritam
Tere Pyaar Mein,31/12/23 17:21,Pritam
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",31/12/23 17:24,Sachin-Jigar
Jhoome Jo Pathaan,31/12/23 17:24,Vishal-Shekhar
Hum Toh Deewane,31/12/23 17:24,Rajat Nagpal
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",31/12/23 17:24,Pritam
Tere Pyaar Mein,31/12/23 17:24,Pritam
Desi Girl,01/01/24 13:42,Vishal-Shekhar
Paisa,01/01/24 13:43,Manak-E
Baby Ko Bass Pasand Hai,01/01/24 13:43,Vishal-Shekhar
Dard - E - Disco,01/01/24 13:44,Sukhwinder Singh
Nashe Si Chadh Gayi,01/01/24 13:44,Vishal-Shekhar
Nashe Si Chadh Gayi,01/01/24 13:47,Vishal-Shekhar
Kar Gayi Chull,01/01/24 13:49,Badshah
Chammak Challo,01/01/24 13:50,Akon
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",01/01/24 13:52,Pritam
Gallan Goodiyaan,01/01/24 13:54,Yashita Sharma
Liggi,01/01/24 13:54,Ritviz
Thoda Thoda Pyaar,01/01/24 13:54,Nilesh Ahuja
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",01/01/24 13:54,Vishal Mishra
Baarish,01/01/24 13:54,Shashaa Tirupati
Saat Samundar Paar Happy,01/01/24 13:58,Sadhana Sargam
Baarish,01/01/24 13:59,Shashaa Tirupati
Sharara,01/01/24 14:01,Jeet-Pritam
Teri Aakhya Ka Yo Kajal,01/01/24 14:06,DC Madana
Sohnea (Duet),01/01/24 14:08,Shaurya Jha
Ek Din Teri Raahon,01/01/24 14:11,Javed Ali
